project_id,state,district,constituency,MP_name,project_name,project_category,sanctioned_amount,released_amount,expenditure,project_status,sanction_date,start_date,completion_date,implementing_agency,contractor,latitude,longitude,beneficiary_count,_demo_injected_issue
MPLAD-2026-00815,Karnataka,Dharwad,Dharwad Constituency 3,Sunita Das,Road Widening and Improvement,Roads,4141000.0,3578285.39,2640712.36,Completed,2023-06-10,2023-08-15,2024-02-12,Urban Local Body,Sunrise Engineering,13.002135,77.978348,9945.0,NORMAL
MPLAD-2026-00473,West Bengal,Howrah,Howrah Constituency 8,Anil Verma,Sports Infrastructure Improvement,Sports Infrastructure,4706000.0,4384362.63,2104234.64,Completed,2022-02-15,2022-04-17,2022-10-12,Rural Development Department,National Projects Ltd,23.403587,87.882362,13930.0,NORMAL
MPLAD-2026-00348,Rajasthan,Kota,Kota Constituency 2,Rohit Mehta,Construction of Primary Health Centre,Healthcare,3352000.0,3043778.25,1452076.95,Completed,2023-12-10,2023-12-30,2024-05-19,Urban Local Body,National Projects Ltd,27.179296,75.648004,8331.0,NORMAL
MPLAD-2026-00506,Andhra Pradesh,Krishna,Krishna Constituency 1,Priya Singh,Renovation of Public Building,Public Facilities,3424000.0,2941034.93,2244096.63,Completed,2025-06-06,2025-08-28,2025-12-14,State Water Resources Department,Metro Civil Contractors,17.092827,80.68892,2527.0,NORMAL
MPLAD-2026-00640,Rajasthan,Jaipur,Jaipur Constituency 5,Rajesh Sharma,Waste Management Facility,Sanitation,1763000.0,1476964.05,973374.1,Completed,2022-10-18,2022-11-08,2023-02-22,Urban Local Body,Shree Infrastructure Pvt Ltd,26.998822,75.648198,3573.0,NORMAL
MPLAD-2026-DUP-0013,Andhra Pradesh,Guntur,Guntur Constituency 3,Anil Verma,Drainage Improvement Works - Phase II,Sanitation,1097302.79,1002994.15,584870.6,Delayed,2022-01-03,2022-03-21,2024-08-05,District Rural Development Agency,Shree Infrastructure Pvt Ltd,16.980004,81.126183,12629.0,SIMILAR_DUPLICATE
MPLAD-2026-00929,Karnataka,Belagavi,Belagavi Constituency 6,Amit Kumar,Construction of Additional Classrooms,Education,3579000.0,2689530.46,1214889.09,Completed,2021-04-30,2021-07-03,2022-01-24,State Public Works Department,Apex Civil Works,13.598209,77.482079,9334.0,NORMAL
MPLAD-2026-00906,Gujarat,Rajkot,Rajkot Constituency 1,Naveen Singh,Community Infrastructure Development,Community Infrastructure,4404000.0,3465816.01,2741472.61,Completed,2021-05-14,2021-07-03,2022-01-24,State Public Works Department,Dakshin Projects,22.805123,72.637457,11791.0,NORMAL
MPLAD-2026-00620,Andhra Pradesh,Krishna,Krishna Constituency 3,Anil Verma,Renovation of Health Sub Centre,Healthcare,3210000.0,2580872.07,1624743.06,Completed,2021-09-21,2021-11-29,2022-02-16,District Administration,Sunrise Engineering,16.756042,81.332778,10745.0,NORMAL
MPLAD-2026-00856,Uttar Pradesh,Varanasi,Varanasi Constituency 8,Suresh Reddy,Construction of Additional Classrooms,Education,3922000.0,3601353.15,1790895.26,Completed,2023-06-27,2023-08-24,2024-04-03,Municipal Corporation,Eastern Infrastructure,27.344886,80.892028,3271.0,NORMAL
MPLAD-2026-00804,Andhra Pradesh,Nellore,Nellore Constituency 1,Manoj Yadav,Drainage Improvement Works,Sanitation,2292000.0,2289557.79,1836528.13,Completed,2022-07-16,2022-08-07,2023-03-01,State Water Resources Department,Eastern Infrastructure,16.555202,81.331105,10054.0,NORMAL
MPLAD-2026-00646,Odisha,Puri,Puri Constituency 4,Suresh Reddy,Improvement of Village Road,Roads,3074000.0,2760538.65,1254473.41,Completed,2025-06-08,2025-08-27,2026-02-19,Rural Development Department,Unity Infrastructure,20.47096,86.94635,5071.0,CONTRACTOR_CONCENTRATION
MPLAD-2026-00847,Karnataka,Mysuru,Mysuru Constituency 5,Rohit Mehta,Solar Lighting Installation,Electricity,3365000.0,2547308.96,1415873.34,Completed,2022-09-13,2022-10-16,2023-05-13,District Administration,Unity Infrastructure,13.363684,76.988909,7914.0,NORMAL
MPLAD-2026-00557,Tamil Nadu,Chennai,Chennai Constituency 3,Rohit Mehta,Construction of Community Toilet,Sanitation,594000.0,546101.68,349210.93,Delayed,2025-06-01,2025-06-30,2025-11-23,State Water Resources Department,Sunrise Engineering,13.47423,80.493757,4034.0,NORMAL
MPLAD-2026-00958,Uttar Pradesh,Kanpur Nagar,Kanpur Nagar Constituency 6,Kavita Joshi,Construction of Public Facility,Public Facilities,580000.0,488651.23,280023.99,Delayed,2022-10-31,2022-12-14,2025-03-30,State Water Resources Department,Dakshin Projects,26.036224,80.701997,12991.0,MAJOR_DELAY
MPLAD-2026-00578,Telangana,Hyderabad,Hyderabad Constituency 5,Suresh Reddy,Construction of Citizen Service Centre,Public Facilities,1301000.0,1208112.59,1082884.29,Completed,2023-12-27,2024-02-07,2024-07-29,District Rural Development Agency,Eastern Infrastructure,18.123907,78.941118,6499.0,NORMAL
MPLAD-2026-00796,Karnataka,Mysuru,Mysuru Constituency 8,Amit Kumar,Community Infrastructure Development,Community Infrastructure,1307000.0,1133983.73,1073491.55,Completed,2021-01-12,2021-03-07,2021-11-01,District Rural Development Agency,Reliable Infra Solutions,12.489137,76.279992,8910.0,NORMAL
MPLAD-2026-00086,Odisha,Khordha,Khordha Constituency 2,Anil Verma,Public Infrastructure Improvement,Public Facilities,2685000.0,2310472.16,1355284.67,Completed,2025-03-27,2025-06-15,2025-09-12,Rural Development Department,Bharat Construction Co,19.895819,85.457385,11211.0,NORMAL
MPLAD-2026-00243,Andhra Pradesh,Visakhapatnam,Visakhapatnam Constituency 6,Manoj Yadav,Construction of Additional Classrooms,Education,3449000.0,3446817.73,1998165.52,Completed,2023-05-08,2023-07-13,2023-12-19,Zilla Parishad,Vardhan Construction,16.159642,79.959986,5722.0,NORMAL
MPLAD-2026-00699,Odisha,Puri,Puri Constituency 6,Naveen Singh,Rural Drinking Water Facility,Drinking Water,1253000.0,950325.32,670624.06,Completed,2024-04-16,2024-06-22,2024-11-04,Urban Local Body,Dakshin Projects,19.689893,85.387274,6625.0,NORMAL
MPLAD-2026-00160,Uttar Pradesh,Agra,Agra Constituency 7,Rajesh Sharma,Community Infrastructure Development,Community Infrastructure,2565000.0,2079707.06,1660891.82,Delayed,2022-09-07,2022-10-02,2023-05-17,State Public Works Department,Greenfield Contractors,26.992575,80.887636,1631.0,NORMAL
MPLAD-2026-00525,Maharashtra,Aurangabad,Aurangabad Constituency 7,Arun Rao,Public Infrastructure Improvement,Public Facilities,4207000.0,3307066.1,1698383.44,Delayed,2024-12-27,2025-03-10,2025-06-11,District Rural Development Agency,Unity Infrastructure,19.740443,73.498741,11478.0,CONTRACTOR_CONCENTRATION
MPLAD-2026-00036,Andhra Pradesh,Krishna,Krishna Constituency 7,Meena Patel,Construction of Minor Irrigation Facility,Irrigation,4355000.0,4099791.09,2624647.37,Completed,2021-01-13,2021-03-14,2021-07-28,District Administration,Eastern Infrastructure,16.662628,81.292116,8918.0,NORMAL
MPLAD-2026-00541,Telangana,Nalgonda,Nalgonda Constituency 7,Rohit Mehta,Village Irrigation Infrastructure,Irrigation,2240000.0,2149921.64,1840192.87,Completed,2021-01-18,2021-02-17,2021-08-14,State Water Resources Department,Apex Civil Works,17.228107,78.329534,253.0,NORMAL
MPLAD-2026-00171,Telangana,Warangal,Warangal Constituency 3,Manoj Yadav,Construction of Sports Ground,Sports Infrastructure,4789000.0,4144427.21,3332880.09,Completed,2023-06-17,2023-08-08,2024-04-01,District Administration,Eastern Infrastructure,17.015001,78.596359,11126.0,NORMAL
MPLAD-2026-00655,Maharashtra,Pune,Pune Constituency 1,Rohit Mehta,Construction of CC Road,Roads,2951000.0,2288918.13,2044526.76,Delayed,2023-05-01,2023-06-03,2023-08-02,Zilla Parishad,Shree Infrastructure Pvt Ltd,19.564653,73.091314,7098.0,NORMAL
MPLAD-2026-00891,Telangana,Nalgonda,Nalgonda Constituency 5,Amit Kumar,Solar Lighting Installation,Electricity,1008000.0,873564.47,648612.26,Completed,2024-12-24,2025-03-11,2025-07-23,District Rural Development Agency,Bharat Construction Co,16.752157,78.449302,12089.0,NORMAL
MPLAD-2026-00858,Rajasthan,Jodhpur,Jodhpur Constituency 3,Kavita Joshi,Construction of School Laboratory,Education,4805000.0,4782361.73,3714677.07,Completed,2025-06-04,2025-08-11,2025-12-17,State Water Resources Department,Sunrise Engineering,26.671502,75.74656,14128.0,NORMAL
MPLAD-2026-00848,Odisha,Cuttack,Cuttack Constituency 6,Manoj Yadav,Construction of School Laboratory,Education,2855000.0,2411032.33,2201371.73,Completed,2024-08-20,2024-09-25,2025-04-07,District Administration,Prime Development Works,20.352971,86.697018,333.0,NORMAL
MPLAD-2026-00945,Uttar Pradesh,Kanpur Nagar,Kanpur Nagar Constituency 6,Ramesh Naidu,Village Sanitation Infrastructure,Sanitation,2700000.0,2205003.96,1999230.07,Delayed,2024-10-07,2024-11-01,2025-06-19,District Rural Development Agency,Unity Infrastructure,26.633472,80.939696,476.0,CONTRACTOR_CONCENTRATION
MPLAD-2026-00734,West Bengal,Darjeeling,Darjeeling Constituency 5,Manoj Yadav,Rural Drinking Water Facility,Drinking Water,2153000.0,1762866.36,1133365.11,Completed,2025-06-27,2025-07-25,2026-01-19,Municipal Corporation,Krishna Builders,23.324057,88.541502,558.0,NORMAL
MPLAD-2026-00096,Maharashtra,Nagpur,Nagpur Constituency 6,Rajesh Sharma,Canal Improvement Works,Irrigation,4625000.0,3827455.45,2977865.06,Completed,2024-09-18,2024-11-22,2025-02-23,Rural Development Department,Bharat Construction Co,,73.263079,9257.0,DATA_QUALITY
MPLAD-2026-00564,Telangana,Nalgonda,Nalgonda Constituency 2,Sunita Das,Village Sanitation Infrastructure,Sanitation,943000.0,724070.45,339690.91,Completed,2022-02-15,2022-04-13,2022-08-01,Rural Development Department,Sunrise Engineering,17.521186,78.147276,12309.0,NORMAL
MPLAD-2026-00241,Maharashtra,Nagpur,Nagpur Constituency 8,Anil Verma,Sports Infrastructure Improvement,Sports Infrastructure,3130000.0,2353249.48,2234915.6,Completed,2023-02-06,2023-05-03,2023-12-14,Rural Development Department,Sunrise Engineering,19.018437,72.447707,11313.0,NORMAL
MPLAD-2026-00743,Telangana,Karimnagar,Karimnagar Constituency 4,Amit Kumar,Village Irrigation Infrastructure,Irrigation,601000.0,574154.5,341592.21,Completed,2022-05-30,2022-08-02,2023-03-30,Municipal Corporation,Eastern Infrastructure,17.486108,78.906366,4819.0,NORMAL
MPLAD-2026-00575,West Bengal,Murshidabad,Murshidabad Constituency 2,Vijay Kumar,Installation of Drinking Water Supply System,Drinking Water,2770000.0,2617311.12,1714464.5,Completed,2021-12-04,2022-01-20,2022-05-13,State Public Works Department,Prime Development Works,23.290127,87.982767,1299.0,NORMAL
MPLAD-2026-00691,Gujarat,Surat,Surat Constituency 6,Priya Singh,Installation of Drinking Water Supply System,Drinking Water,615000.0,463023.99,386632.49,Completed,2021-11-10,2021-11-28,2022-07-04,District Rural Development Agency,Dakshin Projects,23.327567,72.35184,9468.0,NORMAL
MPLAD-2026-00461,Odisha,Ganjam,Ganjam Constituency 2,Priya Singh,Village Electrification Works,Electricity,1753000.0,1627438.66,1205865.83,Completed,2022-07-14,2022-09-18,2023-02-16,District Administration,Unity Infrastructure,20.779234,85.362568,8038.0,CONTRACTOR_CONCENTRATION
MPLAD-2026-00554,Uttar Pradesh,Agra,Agra Constituency 5,Meena Patel,Village Community Centre,Community Infrastructure,972000.0,941893.63,852669.47,Completed,2023-10-13,2023-11-25,2024-01-24,Zilla Parishad,Reliable Infra Solutions,27.122448,80.472163,7743.0,NORMAL
MPLAD-2026-00889,Odisha,Cuttack,Cuttack Constituency 4,Rohit Mehta,Construction of Community Hall,Community Infrastructure,1518000.0,1498664.51,779635.5,Delayed,2023-04-03,2023-05-03,2023-11-28,Zilla Parishad,National Projects Ltd,20.020804,85.807833,7364.0,NORMAL
MPLAD-2026-00207,Tamil Nadu,Coimbatore,Coimbatore Constituency 7,Arun Rao,Improvement of Village Road,Roads,3702000.0,2862596.15,2606786.55,Delayed,2023-12-01,2024-02-06,2024-10-02,District Rural Development Agency,Prime Development Works,12.392349,80.845655,9615.0,NORMAL
MPLAD-2026-00393,Odisha,Ganjam,Ganjam Constituency 4,Priya Singh,Construction of Public Utility Building,Community Infrastructure,3066000.0,2999471.07,1806506.64,Completed,2023-06-10,2023-08-08,2023-10-29,District Administration,Vardhan Construction,20.548006,86.310851,13987.0,NORMAL
MPLAD-2026-00795,Uttar Pradesh,Agra,Agra Constituency 3,Suresh Reddy,Village Sanitation Infrastructure,Sanitation,4113000.0,4063639.23,2582957.41,Completed,2024-05-23,2024-07-09,2025-01-05,Urban Local Body,Dakshin Projects,26.474284,80.984965,12334.0,NORMAL
MPLAD-2026-00398,Andhra Pradesh,Visakhapatnam,Visakhapatnam Constituency 6,Rajesh Sharma,Water Conservation Structure,Irrigation,4828000.0,3717636.17,3030218.23,Completed,2023-12-15,2024-02-03,2024-07-31,District Rural Development Agency,Saksham Projects,16.013525,81.073919,4117.0,NORMAL
MPLAD-2026-00767,Odisha,Cuttack,Cuttack Constituency 5,Sunita Das,Waste Management Facility,Sanitation,1912000.0,1472959.85,972906.62,Completed,2021-10-31,2022-01-27,2022-08-01,Zilla Parishad,Metro Civil Contractors,17.385,78.486681,14843.0,GEOGRAPHIC_CLUSTER
MPLAD-2026-00849,Telangana,Nalgonda,Nalgonda Constituency 4,Anil Verma,Renovation of Health Sub Centre,Healthcare,1175000.0,1060038.36,863275.0,Completed,2021-09-02,2021-10-12,2022-03-12,State Public Works Department,Vardhan Construction,16.934851,78.181715,13862.0,NORMAL
MPLAD-2026-00218,Karnataka,Mysuru,Mysuru Constituency 4,Kavita Joshi,Construction of Public Utility Building,Community Infrastructure,4613000.0,3492279.23,2794802.62,Completed,2024-03-08,2024-06-03,2024-09-07,State Water Resources Department,Apex Civil Works,13.647661,77.627943,8982.0,NORMAL
MPLAD-2026-00005,Uttar Pradesh,Agra,Agra Constituency 4,Manoj Yadav,Construction of Community Toilet,Sanitation,3241000.0,2569415.09,2092951.49,Completed,2021-12-01,2022-02-13,2022-07-20,Zilla Parishad,Dakshin Projects,26.635437,81.190352,11316.0,NORMAL
MPLAD-2026-00769,Karnataka,Bengaluru Urban,Bengaluru Urban Constituency 3,Deepak Gupta,Sports Infrastructure Improvement,Sports Infrastructure,4569000.0,3831526.59,2494932.08,Completed,2024-02-15,2024-03-31,2024-08-13,Urban Local Body,Unity Infrastructure,13.20272,77.354885,9790.0,CONTRACTOR_CONCENTRATION
MPLAD-2026-00643,West Bengal,Kolkata,Kolkata Constituency 2,Deepak Gupta,Village Irrigation Infrastructure,Irrigation,1857000.0,1612896.66,1339501.01,Completed,2023-12-29,2024-02-01,2024-04-12,Rural Development Department,Krishna Builders,22.218905,87.764845,14707.0,NORMAL
MPLAD-2026-00930,Gujarat,Ahmedabad,Ahmedabad Constituency 1,Manoj Yadav,Public Infrastructure Improvement,Public Facilities,7867880.09,7117155.41,5192699.65,Completed,2025-03-13,2025-04-27,2025-12-17,Urban Local Body,Sunrise Engineering,23.152412,72.688545,10531.0,EXTREME_COST
MPLAD-2026-00613,Telangana,Nalgonda,Nalgonda Constituency 8,Suresh Reddy,Construction of CC Road,Roads,4911000.0,4481407.58,3346249.99,Completed,2021-11-01,2022-01-06,2022-05-08,District Administration,Unity Infrastructure,17.301621,78.428281,8105.0,CONTRACTOR_CONCENTRATION
MPLAD-2026-00739,Tamil Nadu,Chennai,Chennai Constituency 3,Ramesh Naidu,Village Electrification Works,Electricity,4651000.0,3560255.21,2048008.06,Completed,2021-03-18,2021-04-11,2021-10-01,State Public Works Department,Vardhan Construction,13.028273,80.45949,2951.0,NORMAL
MPLAD-2026-00547,Tamil Nadu,Coimbatore,Coimbatore Constituency 6,Anil Verma,Installation of Drinking Water Supply System,Drinking Water,625000.0,536242.02,247750.12,Completed,2025-06-21,2025-08-17,2025-12-19,Zilla Parishad,Prime Development Works,13.410133,80.294076,5683.0,NORMAL
MPLAD-2026-00726,Rajasthan,Kota,Kota Constituency 7,Naveen Singh,Pipeline Extension for Drinking Water,Drinking Water,4641000.0,4173464.26,2239693.7,Completed,2023-06-12,2023-08-07,2024-03-02,Zilla Parishad,Metro Civil Contractors,27.051375,76.553297,4196.0,NORMAL
MPLAD-2026-00684,Uttar Pradesh,Lucknow,Lucknow Constituency 5,Naveen Singh,Construction of Community Toilet,Sanitation,3647000.0,3326895.22,2255630.78,Completed,2023-04-21,2023-06-20,2023-11-17,Urban Local Body,Krishna Builders,26.834413,80.526229,1957.0,NORMAL
MPLAD-2026-00099,Rajasthan,Jodhpur,Jodhpur Constituency 3,Suresh Reddy,Canal Improvement Works,Irrigation,3745000.0,2849657.04,4855462.36,Completed,2025-01-13,2025-02-27,2025-08-19,State Water Resources Department,Metro Civil Contractors,26.514664,75.856476,3933.0,EXPENDITURE_OVER_SANCTION
MPLAD-2026-00805,West Bengal,Murshidabad,Murshidabad Constituency 3,Arun Rao,Construction of Sports Ground,Sports Infrastructure,672000.0,508844.61,456501.07,Completed,2021-11-10,2021-12-17,2022-03-20,District Rural Development Agency,Eastern Infrastructure,22.717986,88.250341,1018.0,NORMAL
MPLAD-2026-00728,Uttar Pradesh,Agra,Agra Constituency 8,Vijay Kumar,Village Electrification Works,Electricity,2392000.0,2039334.66,945917.79,Completed,2024-02-19,2024-03-08,2024-08-22,Rural Development Department,National Projects Ltd,27.101179,80.153857,12988.0,NORMAL
MPLAD-2026-00574,Rajasthan,Jodhpur,Jodhpur Constituency 2,Meena Patel,Improvement of Village Road,Roads,4485000.0,3540831.51,3155864.93,Delayed,2024-01-07,2024-02-28,2024-10-15,Zilla Parishad,Reliable Infra Solutions,26.419076,75.139277,14988.0,NORMAL
MPLAD-2026-00407,Andhra Pradesh,Guntur,Guntur Constituency 1,Kavita Joshi,Construction of Primary Health Centre,Healthcare,3686000.0,2875058.91,2524935.42,Completed,2021-09-24,2021-11-26,2022-07-12,Municipal Corporation,Greenfield Contractors,17.15114,80.68845,14780.0,NORMAL
MPLAD-2026-00503,West Bengal,Howrah,Howrah Constituency 3,Rohit Mehta,Installation of Street Lighting,Electricity,875000.0,848040.23,507826.64,Delayed,2024-04-17,2024-06-29,2026-07-31,Rural Development Department,Metro Civil Contractors,22.8868,88.540968,5692.0,MAJOR_DELAY
MPLAD-2026-00048,Tamil Nadu,Madurai,Madurai Constituency 4,Vijay Kumar,Construction of School Laboratory,Education,564000.0,498313.05,292587.33,Completed,2021-04-22,2021-07-16,2021-11-27,State Water Resources Department,National Projects Ltd,12.906251,79.612118,1780.0,NORMAL
MPLAD-2026-00033,Gujarat,Rajkot,Rajkot Constituency 1,Deepak Gupta,Construction of Primary Health Centre,Healthcare,2554000.0,2427204.5,1902415.86,Completed,2024-02-19,2024-04-14,2024-10-04,District Administration,Reliable Infra Solutions,23.388137,73.181708,13708.0,NORMAL
MPLAD-2026-00780,Gujarat,Surat,Surat Constituency 5,Rohit Mehta,Healthcare Facility Improvement,Healthcare,3506000.0,3059179.56,2340314.42,Completed,2024-05-09,2024-07-08,2025-01-23,Zilla Parishad,Bharat Construction Co,23.69421,72.449394,1941.0,NORMAL
MPLAD-2026-00840,Odisha,Ganjam,Ganjam Constituency 2,Vijay Kumar,Construction of Approach Road,Roads,4476000.0,4088955.85,2968699.22,Completed,2022-01-31,2022-03-07,2022-08-31,Zilla Parishad,Eastern Infrastructure,20.74534,85.630271,2970.0,NORMAL
MPLAD-2026-00201,Telangana,Hyderabad,Hyderabad Constituency 6,Sunita Das,Solar Lighting Installation,Electricity,2857000.0,2330561.79,2184960.63,Completed,2024-07-09,2024-08-02,2025-02-05,State Public Works Department,Unity Infrastructure,16.667508,78.216981,8285.0,NORMAL
MPLAD-2026-00135,Karnataka,Bengaluru Urban,Bengaluru Urban Constituency 3,Meena Patel,Public Infrastructure Improvement,Public Facilities,3427000.0,3217876.8,1910204.13,Completed,2022-08-08,2022-08-30,2022-11-20,State Public Works Department,Apex Civil Works,12.77358,77.653433,2968.0,NORMAL
MPLAD-2026-00028,Uttar Pradesh,Varanasi,Varanasi Constituency 2,Meena Patel,Canal Improvement Works,Irrigation,1646000.0,1526165.14,688064.9,Completed,2024-01-08,2024-02-17,2024-07-19,Urban Local Body,Greenfield Contractors,27.31065,81.365276,10309.0,NORMAL
MPLAD-2026-00881,Odisha,Puri,Puri Constituency 3,Vijay Kumar,Solar Lighting Installation,Electricity,3475000.0,3109576.44,2852452.42,Completed,2021-03-12,2021-05-15,2021-12-22,Municipal Corporation,Apex Civil Works,21.034084,86.158457,334.0,NORMAL
MPLAD-2026-00231,Andhra Pradesh,Krishna,Krishna Constituency 2,Sunita Das,Renovation of Public Building,Public Facilities,4771000.0,3777635.8,2100158.04,Completed,2022-01-30,2022-03-02,2022-05-11,District Administration,Greenfield Contractors,17.384126,80.615869,3408.0,NORMAL
MPLAD-2026-00490,Maharashtra,Aurangabad,Aurangabad Constituency 5,Meena Patel,Village Community Centre,Community Infrastructure,4856000.0,4321306.31,3198818.71,Completed,2022-06-18,2022-07-24,2023-01-28,State Water Resources Department,Unity Infrastructure,18.363244,73.219887,2261.0,NORMAL
MPLAD-2026-00773,Andhra Pradesh,Krishna,Krishna Constituency 7,Deepak Gupta,Waste Management Facility,Sanitation,948000.0,778495.46,396468.69,Completed,2022-07-15,2022-09-30,2023-03-21,Rural Development Department,National Projects Ltd,16.229005,80.810948,4350.0,NORMAL
MPLAD-2026-00379,Rajasthan,Jaipur,Jaipur Constituency 5,Kavita Joshi,Construction of Community Hall,Community Infrastructure,1437000.0,1324013.47,1125103.84,Delayed,2025-06-18,2025-08-17,2025-11-01,State Public Works Department,Sunrise Engineering,27.134393,75.870476,5656.0,NORMAL
MPLAD-2026-00289,Maharashtra,Aurangabad,Aurangabad Constituency 3,Vijay Kumar,Electricity Infrastructure Improvement,Electricity,4511000.0,4048172.25,3556651.58,Completed,2021-10-02,2021-12-15,2022-06-21,Urban Local Body,Krishna Builders,19.182027,73.224589,8327.0,NORMAL
MPLAD-2026-00419,Maharashtra,Nagpur,Nagpur Constituency 7,Suresh Reddy,Village Community Centre,Community Infrastructure,2474000.0,2428030.32,1142022.72,Completed,2021-07-24,2021-09-25,2022-01-03,District Rural Development Agency,Prime Development Works,19.773725,72.428441,204.0,NORMAL
MPLAD-2026-00675,Odisha,Cuttack,Cuttack Constituency 8,Vijay Kumar,Construction of Indoor Sports Hall,Sports Infrastructure,2182000.0,2008640.59,1412016.52,Delayed,2022-06-23,2022-07-13,2023-02-16,Zilla Parishad,Shree Infrastructure Pvt Ltd,19.681005,85.723356,11564.0,NORMAL
MPLAD-2026-00392,Telangana,Karimnagar,Karimnagar Constituency 6,Arun Rao,Construction of CC Road,Roads,1479000.0,1160614.46,859300.31,Completed,2025-03-27,2025-04-11,2025-07-17,Rural Development Department,Prime Development Works,17.556089,78.761464,6489.0,NORMAL
MPLAD-2026-00593,Andhra Pradesh,Krishna,Krishna Constituency 5,Kavita Joshi,Renovation of Public Building,Public Facilities,1644000.0,1480483.37,1370763.45,Completed,2021-11-27,2021-12-13,2022-03-12,District Administration,Greenfield Contractors,16.054667,81.023347,6615.0,NORMAL
MPLAD-2026-00499,Maharashtra,Aurangabad,Aurangabad Constituency 7,Ramesh Naidu,Village Sanitation Infrastructure,Sanitation,2116000.0,1637842.98,1037947.63,Delayed,2022-02-14,2022-05-02,2022-10-23,Rural Development Department,Unity Infrastructure,19.884959,73.166079,9325.0,CONTRACTOR_CONCENTRATION
MPLAD-2026-00139,Andhra Pradesh,Nellore,Nellore Constituency 7,Priya Singh,Construction of Citizen Service Centre,Public Facilities,4793000.0,3956556.6,3210513.29,Completed,2021-01-24,2021-03-13,2021-10-26,State Public Works Department,Apex Civil Works,16.589577,80.329902,11041.0,NORMAL
MPLAD-2026-00063,Karnataka,Dharwad,Dharwad Constituency 3,Rajesh Sharma,Construction of Citizen Service Centre,Public Facilities,2024000.0,1868508.53,1447941.5,Delayed,2022-11-04,2023-01-26,2023-07-02,State Water Resources Department,Greenfield Contractors,13.235686,78.580305,14393.0,NORMAL
MPLAD-2026-00472,Gujarat,Vadodara,Vadodara Constituency 4,Meena Patel,Solar Lighting Installation,Electricity,3312000.0,2859273.29,2378117.95,Completed,2022-01-05,2022-01-22,2022-08-30,Municipal Corporation,Eastern Infrastructure,17.38365,78.486411,9551.0,GEOGRAPHIC_CLUSTER
MPLAD-2026-00648,Tamil Nadu,Coimbatore,Coimbatore Constituency 2,Amit Kumar,Construction of Public Utility Building,Community Infrastructure,1961000.0,1934736.24,1725771.56,Delayed,2022-06-25,2022-07-27,2023-01-07,Urban Local Body,Sunrise Engineering,13.119523,80.2262,1038.0,NORMAL
MPLAD-2026-00129,Andhra Pradesh,Visakhapatnam,Visakhapatnam Constituency 3,Deepak Gupta,Water Conservation Structure,Irrigation,1165000.0,1072011.71,499327.25,Completed,2024-12-05,2025-01-03,2025-04-21,District Administration,Unity Infrastructure,17.07011,80.281549,2581.0,NORMAL
MPLAD-2026-DUP-0024,Tamil Nadu,Madurai,Madurai Constituency 6,Rohit Mehta,Public Infrastructure Improvement - Phase II,Public Facilities,3392522.22,2588514.2,1171357.6,Completed,2023-02-02,2023-04-20,,State Water Resources Department,Eastern Infrastructure,13.822935,80.158634,9715.0,SIMILAR_DUPLICATE
MPLAD-2026-00521,Gujarat,Vadodara,Vadodara Constituency 6,Sunita Das,Construction of Additional Classrooms,Education,626000.0,594167.7,443398.72,Delayed,2022-05-10,2022-07-02,2022-12-17,State Public Works Department,Bharat Construction Co,23.780267,72.364902,13888.0,NORMAL
MPLAD-2026-00839,Odisha,Ganjam,Ganjam Constituency 7,Meena Patel,Construction of Primary Health Centre,Healthcare,3285000.0,2577552.29,1958837.02,Delayed,2021-06-14,2021-09-10,2022-02-21,Zilla Parishad,Unity Infrastructure,20.843821,86.509092,2827.0,NORMAL
MPLAD-2026-00963,Gujarat,Vadodara,Vadodara Constituency 4,Sunita Das,Village Electrification Works,Electricity,3653000.0,3518479.2,2107880.45,Completed,2022-02-23,2022-03-28,2022-08-10,District Administration,Unity Infrastructure,23.955837,72.157677,-76.0,CONTRACTOR_CONCENTRATION
MPLAD-2026-00065,Uttar Pradesh,Lucknow,Lucknow Constituency 5,Vijay Kumar,Community Infrastructure Development,Community Infrastructure,1155000.0,1019624.27,747347.92,Completed,2025-06-12,2025-07-20,2025-10-31,District Administration,Vardhan Construction,26.891543,80.719636,10253.0,NORMAL
MPLAD-2026-00813,Gujarat,Surat,Surat Constituency 5,Priya Singh,Construction of Citizen Service Centre,Public Facilities,642000.0,500005.36,389587.22,Completed,2022-01-17,2022-04-02,2022-07-06,Urban Local Body,Unity Infrastructure,23.865484,73.057422,9336.0,CONTRACTOR_CONCENTRATION
MPLAD-2026-00015,Tamil Nadu,Coimbatore,Coimbatore Constituency 8,Suresh Reddy,Electricity Infrastructure Improvement,Electricity,1753000.0,1424227.68,1298372.67,Completed,2023-06-27,2023-09-20,2023-12-14,State Public Works Department,Saksham Projects,12.812413,80.139438,1628.0,NORMAL
MPLAD-2026-00157,Karnataka,Dharwad,Dharwad Constituency 3,Naveen Singh,Construction of Sports Ground,Sports Infrastructure,2858000.0,2743014.44,1336301.19,Completed,2024-09-30,2024-10-21,2024-12-21,Zilla Parishad,Eastern Infrastructure,13.343037,77.960679,1213.0,NORMAL
MPLAD-2026-00041,Odisha,Khordha,Khordha Constituency 3,Anil Verma,Installation of Drinking Water Supply System,Drinking Water,4680000.0,4183682.17,3782103.39,Completed,2023-02-08,2023-04-14,2023-08-02,Zilla Parishad,Reliable Infra Solutions,20.197248,85.985201,1769.0,NORMAL
